['-5.017831660006418e-05', '0.0001384923191588224', '-0.0001886484949003568', '0.0001886920208108665', '-0.0001385987390522057', '5.0353534594082e-05', '5.019919414777683e-05', '-0.0001384743778835954', '0.0001886509740393689', '-0.0001886799937832842', '0.0001385615477150612', '-5.036725317183247e-05']
['0.0001145884847042991', '-0.0001751989050731795', '0.0001957854543419713', '-0.0001584895335375304', '8.605733129400798e-05', '1.495419690728407e-05', '-0.0001146559312528596', '0.0001752275926551253', '-0.0001958918655126285', '0.0001585079219577612', '-8.599493139145783e-05', '-1.488753666546419e-05']
['0.0001384964649236841', '-0.0001886306969164015', '0.0001886552074121499', '-0.0001385515219497292', '5.024144196279912e-05', '5.027937352833399e-05', '-0.0001383962535530401', '0.0001886381000322509', '-0.000188761106151114', '0.0001384732755956541', '-5.019689078716563e-05', '-5.024309718805875e-05']
['0.0001585122435036195', '-0.0001957751559387982', '0.0001753462382925804', '-0.0001148159310092892', '1.489059623324862e-05', '8.603793296087044e-05', '-0.0001584954192830275', '0.0001957789432483103', '-0.0001753815323507641', '0.0001147964921034924', '-1.487696805110535e-05', '-8.600805831749922e-05']
['0.0001752095819678127', '-0.0001957775765227095', '0.0001584631837423387', '-8.600306964393554e-05', '-1.486206165351803e-05', '0.000114751537548462', '-0.0001751959177133279', '0.0001957606371817974', '-0.0001585306628639363', '8.606598930651998e-05', '1.490559584869123e-05', '-0.000114765986939157']
['0.000188705479470162', '-0.0001886568106426629', '0.0001383224331848963', '-5.016616046962699e-05', '-5.02629573110289e-05', '0.0001384629064223199', '-0.0001886594253094136', '0.0001886887395249871', '-0.0001384485707900186', '5.020293418678512e-05', '5.032627746337541e-05', '-0.0001385313345224843']
['0.000195786205720062', '-0.0001753174000719576', '0.0001147222079905166', '-1.488016283947606e-05', '-8.59408185361373e-05', '0.0001584461898278854', '-0.0001957772932050111', '0.0001752992803497635', '-0.000114814204535285', '1.483667461970196e-05', '8.605892334806476e-05', '-0.0001584383579643078']
['0.0001957765927278645', '-0.0001585718574876373', '8.602288114680302e-05', '1.49176494583067e-05', '-0.0001145860378801616', '0.0001752108735126902', '-0.0001957317762541047', '0.0001585175457727698', '-8.60174145916378e-05', '-1.498184192866359e-05', '0.0001146201577683021', '-0.000175195957109789']
['0.0001886787908470167', '-0.0001385577092550023', '5.037387454190699e-05', '5.017129500481931e-05', '-0.0001384959150909907', '0.0001886496665793522', '-0.0001887056603487332', '0.0001384570554600038', '-5.017196783970621e-05', '-5.031428050593293e-05', '0.0001385786399830687', '-0.0001886555523768173']
['0.0001753751496831417', '-0.0001148063201733133', '1.47721318668419e-05', '8.598872521805502e-05', '-0.0001584370108448234', '0.0001957588689823185', '-0.0001753566448369689', '0.0001148241268055324', '-1.48093025277419e-05', '-8.600315145344089e-05', '0.0001584391587050307', '-0.0001957512424283487']
['0.0001585016094335765', '-8.603492639614125e-05', '-1.491918589654966e-05', '0.00011467993971361', '-0.0001752116095826049', '0.000195748075534324', '-0.0001583702341085166', '8.605876440965166e-05', '1.486446429796614e-05', '-0.0001148041854491517', '0.0001752277256965969', '-0.0001957575760734206']
['0.0001385631155842389', '-5.02491845731553e-05', '-5.027327199833711e-05', '0.0001384378641563603', '-0.0001886398921749523', '0.000188649736914034', '-0.0001384707924639922', '5.016266805702689e-05', '5.025409590658251e-05', '-0.0001384297810283353', '0.0001886322327857022', '-0.0001886396623111615']
['0.0001147934819959087', '-1.487405368054952e-05', '-8.595825358685631e-05', '0.0001584203004172934', '-0.0001957724984643316', '0.0001753145072489287', '-0.0001146909748262065', '1.485703304575908e-05', '8.602430585517943e-05', '-0.0001584501593401272', '0.0001957305845021611', '-0.0001753654411155941']
['8.600269876627067e-05', '1.488130313347411e-05', '-0.0001145941574410011', '0.0001752227107617959', '-0.0001957678279015356', '0.0001584728573062605', '-8.60104676861074e-05', '-1.485473942721386e-05', '0.0001146750892370159', '-0.0001753465921687248', '0.0001957765566976436', '-0.000158467338570667']
